AREA,PERIMETER,ECO_US_,ECO_US_ID,ECOCODE,DOMAIN,DIVISION,PROVINCE,SECTION
7767124,11108.618,1503,1646,-212J,HUMID TEMPERATE DOMAIN,Warm Continental Division,Laurentian Mixed Forest Province,Southern Superior Uplands Section
2933604.5,6465.188,1504,1647,-212J,HUMID TEMPERATE DOMAIN,Warm Continental Division,Laurentian Mixed Forest Province,Southern Superior Uplands Section
5427043,9490.57,1505,1648,-212J,HUMID TEMPERATE DOMAIN,Warm Continental Division,Laurentian Mixed Forest Province,Southern Superior Uplands Section
5396531.5,10187.185,1506,1649,-212J,HUMID TEMPERATE DOMAIN,Warm Continental Division,Laurentian Mixed Forest Province,Southern Superior Uplands Section
11608661,15906.321,1507,1650,-212J,HUMID TEMPERATE DOMAIN,Warm Continental Division,Laurentian Mixed Forest Province,Southern Superior Uplands Section
40461172,33220.555,1508,114,-212J,HUMID TEMPERATE DOMAIN,Warm Continental Division,Laurentian Mixed Forest Province,Southern Superior Uplands Section
1378125.5,6234.434,1509,1651,-212J,HUMID TEMPERATE DOMAIN,Warm Continental Division,Laurentian Mixed Forest Province,Southern Superior Uplands Section
1200735.6,4554.731,1510,1652,-212J,HUMID TEMPERATE DOMAIN,Warm Continental Division,Laurentian Mixed Forest Province,Southern Superior Uplands Section
21462728,18477.197,1511,114,-212J,HUMID TEMPERATE DOMAIN,Warm Continental Division,Laurentian Mixed Forest Province,Southern Superior Uplands Section
57727596,44705.18,1512,115,-212H,HUMID TEMPERATE DOMAIN,Warm Continental Division,Laurentian Mixed Forest Province,Northern Great Lakes Section
243246.23,1976.691,1513,1653,-212H,HUMID TEMPERATE DOMAIN,Warm Continental Division,Laurentian Mixed Forest Province,Northern Great Lakes Section
401771.78,2420.292,1514,1654,-212H,HUMID TEMPERATE DOMAIN,Warm Continental Division,Laurentian Mixed Forest Province,Northern Great Lakes Section
