SAMPLE,OTU,ABUNDANCE
NTP36,749-Root; k__Bacteria; p__Chloroflexi; c__Thermomicrobia; o__HN1-15; f__,1
NTP10,752-Root; k__Bacteria; p__Chloroflexi; c__Bljii12; o__AKYG885; f__5B-12,1
NTP18,752-Root; k__Bacteria; p__Chloroflexi; c__Bljii12; o__AKYG885; f__5B-12,1
NTP28,752-Root; k__Bacteria; p__Chloroflexi; c__Bljii12; o__AKYG885; f__5B-12,1
NTP32,752-Root; k__Bacteria; p__Chloroflexi; c__Bljii12; o__AKYG885; f__5B-12,1
NTP4,752-Root; k__Bacteria; p__Chloroflexi; c__Bljii12; o__AKYG885; f__5B-12,1
NTP24,797-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__; f__,2
NTP33,797-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__; f__,1
NTP34,797-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__; f__,2
NTP10,802-Root; k__Bacteria; p__Chloroflexi; c__Bljii12,1
NTP25,802-Root; k__Bacteria; p__Chloroflexi; c__Bljii12,1
NTP12,809-Root; k__Bacteria; p__Chloroflexi,1
NTP14,809-Root; k__Bacteria; p__Chloroflexi,1
